budget_x,country,date_x,genre,names,orig_lang,orig_title,Sum of Profit/Loss,revenue,score,status
1000000,US,06/16/2017,"Science Fiction, Action, Thriller",Kill Switch, English,Kill Switch,22525362.8,23525362.8,48, Released
1000000,US,06/19/1963,"Adventure, Family, Fantasy",Jason and the Argonauts, English,Jason and the Argonauts,155936204.6,156936204.6,71, Released
1000000,US,07/25/2006,"Drama, Music, Romance",9 Songs, English,9 Songs,574623,1574623,57, Released
1000000,US,07-11-2017,Family,Camp Cool Kids, English,Camp Cool Kids,-994801,5199,56, Released
1000000,US,08/23/2013,"Horror, Thriller, Mystery",You're Next, English,You're Next,25887177,26887177,66, Released
1000000,US,09/16/2005,"Horror, Thriller",Cry_Wolf, English,Cry_Wolf,9047674,10047674,58, Released
1000000,US,10/17/2014,Drama,Camp X-Ray, English,Camp X-Ray,-898947,101053,68, Released
10000000,AU,01/17/2002,"Horror, Thriller",Jeepers Creepers, English,Jeepers Creepers,48939035,58939035,64, Released
10000000,AU,01/19/2001,"Horror, Drama, Thriller, Mystery",The Gift, English,The Gift,34567606,44567606,64, Released
10000000,AU,01/23/2018,"Drama, Comedy",Lady Bird, English,Lady Bird,70120944,80120944,73, Released
10000000,AU,01/30/1997,Drama,Crash, English,Crash,-6587620,3412380,65, Released
10000000,AU,01/30/2020,"Horror, Mystery",The Grudge, English,The Grudge,177281115,187281115,55, Released
10000000,AU,01/30/2020,"Horror, Mystery",The Grudge, English,The Grudge,39503117,49503117,55, Released
10000000,AU,01-03-2008,Comedy,American Pie Presents: Beta House, English,American Pie Presents: Beta House,8610260,18610260,56, Released
10000000,AU,02/13/2020,"Comedy, Romance",Emma., English,Emma.,17365788,27365788,71, Released
10000000,AU,02/16/2006,Drama,Goal!, English,Goal!,17610873,27610873,67, Released
10000000,AU,02/16/2018,"Comedy, Drama, Romance","Love, Simon", English,"Love, Simon",55520633,65520633,81, Released
10000000,AU,02/18/2015,Drama,Big Eyes, English,Big Eyes,17317872,27317872,70, Released
10000000,AU,02/19/1987,Drama,The Color of Money, English,The Color of Money,42293000,52293000,68, Released
10000000,AU,02/20/2020,"Horror, Mystery, Thriller",Brahms: The Boy II, English,Brahms: The Boy II,8968326,18968326,60, Released
10000000,AU,02/22/1986,"Action, Adventure, Thriller",Commando, English,Commando,25078913,35078913,66, Released
10000000,AU,02/22/2007,Comedy,Norbit, English,Norbit,149313561,159313561,56, Released
10000000,AU,02/28/2002,"Comedy, Action",Kung Pow: Enter the Fist, English,Kung Pow: Enter the Fist,7033556,17033556,63, Released
10000000,AU,02-03-1994,"Action, Comedy",The Legend of Drunken Master, Cantonese, 醉拳二,1546543,11546543,74, Released
10000000,AU,02-03-2022,"Comedy, Documentary",Jackass Forever, English,Jackass Forever,70340218,80340218,68, Released
10000000,AU,02-04-2010,Drama,Precious, English,Precious,37536959,47536959,74, Released
10000000,AU,02-04-2021,"Horror, Thriller",Wrong Turn, English,Wrong Turn,18649556,28649556,60, Released
10000000,AU,02-07-2013,Comedy,Movie 43, English,Movie 43,21164747,31164747,46, Released
10000000,AU,03/22/1989,"Comedy, Family, Science Fiction, Drama",Short Circuit 2, English,Short Circuit 2,11630088,21630088,61, Released
10000000,AU,03-12-1998,Drama,Good Will Hunting, English,Good Will Hunting,215925989,225925989,81, Released
10000000,AU,04/13/1978,"Fantasy, Animation, Comedy, Family",Pete's Dragon, English,Pete's Dragon,258973914.60000002,268973914.6,64, Released
10000000,AU,04/15/1999,Comedy,Office Space, English,Office Space,2179708,12179708,74, Released
10000000,AU,04/15/2021,"Horror, Mystery",The Unholy, English,The Unholy,20792024,30792024,67, Released
10000000,AU,04/21/2005,"Drama, Horror, Thriller",White Noise, English,White Noise,82094360,92094360,56, Released
10000000,AU,04/22/2021,"Science Fiction, Drama, Thriller, Adventure",Stowaway, English,Stowaway,87710924.2,97710924.2,59, Released
10000000,AU,04/28/2017,Comedy,How to Be a Latin Lover, English,How to Be a Latin Lover,52556228,62556228,70, Released
10000000,AU,04-10-2010,"Animation, Horror, Action, Comedy",The Haunted World of El Superbeasto, English,The Haunted World of El Superbeasto,118116661.8,128116661.8,60, Released
10000000,AU,05/17/1990,Action,Hard to Kill, English,Hard to Kill,37410000,47410000,60, Released
10000000,AU,05/20/1994,"Drama, Crime",A Bronx Tale, English,A Bronx Tale,7287898,17287898,78, Released
10000000,AU,05-01-2019,"Comedy, Drama",Stan & Ollie, English,Stan & Ollie,19062674,29062674,70, Released
10000000,AU,05-06-1999,Drama,American History X, English,American History X,-3280136,6719864,84, Released
10000000,AU,05-06-2021,"Comedy, Crime, Drama",Locked Down, English,Locked Down,34075282.6,44075282.6,54, Released
10000000,AU,05-07-1992,"Science Fiction, Horror",The Lawnmower Man, English,The Lawnmower Man,22100816,32100816,55, Released
10000000,AU,05-08-1986,"Comedy, Romance",The Money Pit, English,The Money Pit,44999651,54999651,65, Released
10000000,AU,05-12-2005,Drama,Crash, English,Crash,-6587620,3412380,72, Released
10000000,AU,06/15/1989,"Action, Thriller",Road House, English,Road House,20050028,30050028,66, Released
10000000,AU,06/15/2016,"Comedy, Drama",Toni Erdmann, German,Toni Erdmann,168077014.4,178077014.4,70, Released
10000000,AU,06/20/2019,"Horror, Thriller, Science Fiction",Child's Play, English,Child's Play,34902237,44902237,60, Released
10000000,AU,06/23/2006,Drama,Peaceful Warrior, English,Peaceful Warrior,-6739821,3260179,75, Released
10000000,AU,06/26/1986,"Comedy, Family, Science Fiction",Short Circuit, English,Short Circuit,30697761,40697761,66, Released
10000000,AU,06/27/2017,Drama,The Beguiled, English,The Beguiled,18039038,28039038,59, Released
10000000,AU,06-01-1979,"Horror, Thriller",Halloween, English,Halloween,245416089,255416089,76, Released
10000000,AU,06-07-2018,"Horror, Mystery, Thriller",Hereditary, English,Hereditary,71263489,81263489,73, Released
10000000,AU,06-08-1990,"Adventure, Comedy, Science Fiction",Bill & Ted's Excellent Adventure, English,Bill & Ted's Excellent Adventure,30485039,40485039,68, Released
10000000,AU,06-08-2013,"Thriller, Crime, Drama",The Iceman, English,The Iceman,-6376391,3623609,65, Released
10000000,AU,06-10-1994,"Comedy, Crime",Police Academy: Mission to Moscow, English,Police Academy: Mission to Moscow,-9873753,126247,46, Released
10000000,AU,06-10-2011,"Drama, Romance",Sleeping Beauty, English,Sleeping Beauty,-9591320,408680,54, Released
10000000,AU,06-11-2016,Drama,It's Only the End of the World, French, Juste la fin du monde,54412531.8,64412531.8,72, Released
10000000,AU,07/14/2016,"Comedy, Drama",Demolition, English,Demolition,-5633540,4366460,68, Released
10000000,AU,07/20/1995,Comedy,Billy Madison, English,Billy Madison,16488734,26488734,62, Released
10000000,AU,07/22/2008,"Horror, Thriller",100 Feet, English,100 Feet,-8584196,1415804,55, Released
10000000,AU,07/29/2004,"Action, Comedy",Shaolin Soccer, Cantonese, 少林足球,32776032,42776032,71, Released
10000000,AU,07/31/2003,"Horror, Thriller",Wrong Turn, English,Wrong Turn,18649556,28649556,63, Released
10000000,AU,08/20/2021,"Thriller, Horror",Don't Breathe 2, English,Don't Breathe 2,43785551,53785551,72, Released
10000000,AU,08/23/2012,"Comedy, Drama, Romance, Adventure",Seeking a Friend for the End of the World, English,Seeking a Friend for the End of the World,1766959,11766959,66, Released
10000000,AU,08/24/1984,"Adventure, Action, Romance, Comedy",Romancing the Stone, English,Romancing the Stone,76572238,86572238,68, Released
10000000,AU,08/27/2015,"Thriller, Mystery, Drama",The Gift, English,The Gift,34567606,44567606,67, Released
10000000,AU,08-01-2018,"Romance, Comedy, Drama",Book Club, English,Book Club,96256217,106256217,62, Released
10000000,AU,08-02-2007,Thriller,Fracture, English,Fracture,81354215,91354215,73, Released
10000000,AU,08-05-2021,"Drama, Music, Romance",CODA, English,CODA,-7762382,2237618,80, Released
10000000,AU,08-06-1985,"Action, Adventure, Science Fiction",Mad Max Beyond Thunderdome, English,Mad Max Beyond Thunderdome,26230219,36230219,62, Released
10000000,AU,08-07-2003,Comedy,Friday After Next, English,Friday After Next,23526835,33526835,63, Released
10000000,AU,08-08-1996,Comedy,Happy Gilmore, English,Happy Gilmore,31004412,41004412,66, Released
10000000,AU,08-12-2013,"Drama, Thriller",Disconnect, English,Disconnect,-6571952,3428048,71, Released
10000000,AU,09/13/2016,"Action, Horror, Thriller",The Purge: Election Year, English,The Purge: Election Year,108514727,118514727,64, Released
10000000,AU,09/15/2016,"Thriller, Horror",Blair Witch, English,Blair Witch,28985577,38985577,52, Released
10000000,AU,09/16/2010,"Horror, Mystery, Thriller",Devil, English,Devil,53354114,63354114,61, Released
10000000,AU,09/26/2013,Drama,Lovelace, English,Lovelace,-8414418,1585582,60, Released
10000000,AU,09/27/2017,"Drama, History",Churchill, English,Churchill,-2417804,7582196,62, Released
10000000,AU,09/29/2005,"Fantasy, Action, Thriller",Night Watch, Russian, Ночной дозор,40336279,50336279,62, Released
10000000,AU,09/30/2002,"Animation, Action, Family",The Powerpuff Girls Movie, English,The Powerpuff Girls Movie,1411644,11411644,66, Released
10000000,AU,09-01-1981,"Horror, Comedy",An American Werewolf in London, English,An American Werewolf in London,21973249,31973249,74, Released
10000000,AU,09-01-2017,"Animation, Family, Fantasy",The Guardian Brothers, Chinese, 小门神,82695917,92695917,58, Released
10000000,AU,10/22/2015,"Horror, Thriller",Paranormal Activity: The Ghost Dimension, English,Paranormal Activity: The Ghost Dimension,67959374,77959374,53, Released
10000000,AU,10/25/1984,"Action, Crime, Drama",Rumble Fish, English,Rumble Fish,-7505520,2494480,70, Released
10000000,AU,10/25/2007,"Horror, Thriller, Crime",Saw IV, English,Saw IV,125759694,135759694,62, Released
10000000,AU,10/25/2018,"Horror, Thriller",Halloween, English,Halloween,245416089,255416089,65, Released
10000000,AU,10-01-2021,"Comedy, Animation, Family, Fantasy",The Little Vampire 3D, English,The Little Vampire 3D,172327208,182327208,61, Released
10000000,AU,10-06-2017,"Drama, Romance","Everything, Everything", English,"Everything, Everything",51603136,61603136,73, Released
10000000,AU,11/17/1966,"Drama, History",The Agony and the Ecstasy, English,The Agony and the Ecstasy,-6000000,4000000,71, Released
10000000,AU,11/17/2022,Thriller,On the Line, English,On the Line,6222303,16222303,62, Released
10000000,AU,11/18/1992,"Drama, Mystery, Horror",Twin Peaks: Fire Walk with Me, English,Twin Peaks: Fire Walk with Me,-5815010,4184990,73, Released
10000000,AU,11/18/2004,"Horror, Mystery, Thriller",The Grudge, English,The Grudge,177281115,187281115,59, Released
10000000,AU,11/18/2004,"Horror, Mystery, Thriller",The Grudge, English,The Grudge,39503117,49503117,59, Released
10000000,AU,11/19/2020,"Family, Romance, Comedy",The Princess Switch: Switched Again, English,The Princess Switch: Switched Again,207848369.2,217848369.2,69, Released
10000000,AU,11/22/2007,Horror,Halloween, English,Halloween,245416089,255416089,62, Released
10000000,AU,11/26/2016,"Action, Crime, Mystery",Free Fire, English,Free Fire,-6206261,3793739,63, Released
10000000,AU,11/29/2017,"Drama, Crime, Thriller",The Book of Henry, English,The Book of Henry,-5202155,4797845,75, Released
10000000,AU,11/30/2011,"Drama, Comedy",The Best Exotic Marigold Hotel, English,The Best Exotic Marigold Hotel,124639780,134639780,69, Released
10000000,AU,11-01-1973,Action,Enter the Dragon, English,Enter the Dragon,11485066,21485066,74, Released
10000000,AU,11-02-2006,"Horror, Thriller, Crime",Saw III, English,Saw III,153876815,163876815,64, Released
10000000,AU,11-09-2000,"Crime, Comedy",Snatch, English,Snatch,73593107,83593107,78, Released
10000000,AU,11-11-2010,"Science Fiction, Adventure, Action, Thriller",Skyline, English,Skyline,58264973,68264973,50, Released
10000000,AU,12/15/1983,"Crime, Drama",The Outsiders, English,The Outsiders,15707698,25707698,73, Released
10000000,AU,12/16/1999,"Fantasy, Comedy, Adventure",Dogma, English,Dogma,33948865,43948865,69, Released
10000000,AU,12/19/1968,"Family, Music, Adventure, Fantasy, Comedy",Chitty Chitty Bang Bang, English,Chitty Chitty Bang Bang,243136523.6,253136523.6,68, Released
10000000,AU,12/19/2007,"Horror, Comedy, Thriller",Severance, English,Severance,-4049998,5950002,63, Released
10000000,AU,12/23/2010,"Drama, War",Sarah's Key, French, Elle s'appelait Sarah,7511906,17511906,73, Released
10000000,AU,12/26/1986,"Fantasy, Action, Adventure",King Kong Lives, English,King Kong Lives,-5288780,4711220,52, Released
10000000,AU,12/26/2001,"Comedy, Romance",Amélie, French, Le Fabuleux Destin d'Amélie Poulain,163921954,173921954,79, Released
10000000,AU,12/26/2005,Comedy,American Pie Presents: Band Camp, English,American Pie Presents: Band Camp,65759759.8,75759759.8,55, Released
10000000,AU,12-05-2019,Crime,The Good Liar, English,The Good Liar,23209936,33209936,67, Released
10000000,AU,12-08-2022,"Comedy, Drama, Science Fiction",White Noise, English,White Noise,82094360,92094360,56, Released
10000000,AU,12-10-1981,"Action, Comedy",Stripes, English,Stripes,75300000,85300000,65, Released
10000000,AU,12-10-1987,"Comedy, Family, Fantasy",Harry and the Hendersons, English,Harry and the Hendersons,39998613,49998613,61, Released
10000000,AU,12-12-1958,"Drama, History",The Ten Commandments, English,The Ten Commandments,-8948093,1051907,78, Released
10000000,BR,10-05-2017,"Comedy, Family, Animation",Woody Woodpecker, English,Woody Woodpecker,222887659.4,232887659.4,67, Released
10000000,CN,07-10-2015,"Fantasy, Animation, Comedy",Monkey King: Hero Is Back, Chinese, 西游记之大圣归来,140000000,150000000,69, Released
10000000,DE,06/22/2009,Drama,Goal! III : Taking On The World, English,Goal! III : Taking On The World,-8759738.4,1240261.6,40, Released
10000000,ES,10/14/2016,"Animation, Family",Ozzy," Spanish, Castilian",Ozzy,114778311.2,124778311.2,60, Released
10000000,ES,11/18/2022,Drama,Motherhood," Spanish, Castilian", La maternal,-9276612,723388,78, Released
10000000,ES,11/28/2014,"Comedy, Animation, Adventure",Mortadelo and Filemon: Mission Implausible," Spanish, Castilian", Mortadelo y Filemón contra Jimmy el Cachondo,285961253.6,295961253.6,66, Released
10000000,FI,02/23/2022,"Comedy, Action",Supercool, Finnish,Supercool,77625186,87625186,58, Released
10000000,FR,02/16/1994,"Drama, Thriller, Crime",Torment, French, L'Enfer,181500032.6,191500032.6,68, Released
10000000,FR,11-02-2011,"Action, Drama, War",Special Forces, French, Forces spéciales,-6575352,3424648,67, Released
10000000,GB,02/13/2004,"Crime, Drama, Thriller",Dogville, English,Dogville,6680836,16680836,78, Released
10000000,GB,08/21/2015,Horror,Sinister 2, English,Sinister 2,44104225,54104225,59, Released
10000000,GB,10/25/2016,"Action, Adventure, Science Fiction",Max Steel, English,Max Steel,-5436920,4563080,57, Released
10000000,GR,01-01-1980,Romance,Nefeli, Greek,Nefeli,-8759738.4,1240261.6,17, Released
10000000,HK,01/15/1992,"Comedy, Action",Twin Dragons, Cantonese, 双龙会,-1667569,8332431,67, Released
10000000,HK,02-07-2008,"Action, Adventure, Comedy",Kung Fu Dunk, Chinese, 功夫灌篮,12896728,22896728,57, Released
10000000,IT,05/23/2003,"Comedy, Romance",Swept Away, English,Swept Away,-9388968,611032,49, Released
10000000,JP,12-01-2017,"Fantasy, Action, Science Fiction, Adventure",Fullmetal Alchemist, Japanese, 鋼の錬金術師,35269004.6,45269004.6,54, Released
10000000,KR,07/16/2008,"Action, Adventure, Comedy, Western","The Good, the Bad, the Weird", Korean," 좋은 놈, 나쁜 놈, 이상한 놈",108630661.8,118630661.8,72, Released
10000000,KR,12/30/2008,Drama,A Frozen Flower, Korean, 쌍화점,8980744,18980744,69, Released
10000000,MX,11-08-2002,"Drama, Romance",Love Hurts," Spanish, Castilian", Amar te duele,55771546.6,65771546.6,77, Released
10000000,RU,04/21/2016,Action,Flight Crew, Russian, Экипаж,17305571,27305571,69, Released
10000000,RU,12/27/2018,"War, Action, Drama, History",T-34, Russian, Т-34,29526616,39526616,71, Released
10000000,US,01/19/1990,"Horror, Comedy, Action, Science Fiction",Tremors, English,Tremors,6667391,16667391,69, Released
10000000,US,01/19/2007,"Action, Horror, Crime, Thriller",The Hitcher, English,The Hitcher,15399945,25399945,59, Released
10000000,US,01/22/2016,"Horror, Thriller, Mystery",The Boy, English,The Boy,58220952,68220952,59, Released
10000000,US,01/24/2018,Comedy,A Futile and Stupid Gesture, English,A Futile and Stupid Gesture,159048197.8,169048197.8,65, Released
10000000,US,01/25/2017,"Romance, Drama",Newness, English,Newness,195152219.6,205152219.6,61, Released
10000000,US,01/29/1999,"Comedy, Romance",She's All That, English,She's All That,53465522,63465522,63, Released
10000000,US,01-05-2018,"Horror, Mystery, Thriller",Insidious: The Last Key, English,Insidious: The Last Key,162811971,172811971,62, Released
10000000,US,01-08-2016,"Horror, Thriller, Mystery",The Forest, English,The Forest,30749230,40749230,52, Released
10000000,US,02/13/2018,"Adventure, Animation, Comedy, Family, Science Fiction",Lego DC Comics Super Heroes: The Flash, English,Lego DC Comics Super Heroes: The Flash,243136523.6,253136523.6,68, Released
10000000,US,02/16/2001,"Science Fiction, Family, Comedy, Animation",Recess: School's Out, English,Recess: School's Out,34451470,44451470,65, Released
10000000,US,02/19/1982,"Horror, Science Fiction",Swamp Thing, English,Swamp Thing,30629377.200000003,40629377.2,54, Released
10000000,US,02/23/2007,"Action, Comedy, Crime",Reno 911!: Miami, English,Reno 911!: Miami,11851362,21851362,58, Released
10000000,US,02-02-2001,"Horror, Thriller",Valentine, English,Valentine,10384136,20384136,55, Released
10000000,US,02-04-1994,Crime,Romeo Is Bleeding, English,Romeo Is Bleeding,-6724415,3275585,62, Released
10000000,US,02-05-2016,"Drama, Romance",The Choice, English,The Choice,8730891,18730891,72, Released
10000000,US,02-07-2014,"Horror, Thriller",Nurse 3-D, English,Nurse 3-D,51302731.4,61302731.4,53, Released
10000000,US,02-08-1915,"Drama, History, War",The Birth of a Nation, English,The Birth of a Nation,6891011,16891011,61, Released
10000000,US,02-09-2007,Drama,Goal! II: Living the Dream, English,Goal! II: Living the Dream,-2135095,7864905,60, Released
10000000,US,02-10-2022,"Thriller, Horror, Drama",Shut In, English,Shut In,1360665,11360665,70, Released
10000000,US,03/19/2019,"Thriller, Action",Triple Threat, English,Triple Threat,-9614349,385651,64, Released
10000000,US,03/27/1997,"Action, Adventure, Family, Fantasy, Science Fiction",Turbo: A Power Rangers Movie, English,Turbo: A Power Rangers Movie,-320261,9679739,58, Released
10000000,US,03/27/2009,"Thriller, Horror",The Haunting in Connecticut, English,The Haunting in Connecticut,67527732,77527732,62, Released
10000000,US,03/31/1971,"Drama, Thriller, War",The Beguiled, English,The Beguiled,18039038,28039038,70, Released
10000000,US,03-08-2001,"Comedy, Romance",Get Over It, English,Get Over It,9860259,19860259,56, Released
10000000,US,04/22/2002,"Horror, Thriller",American Psycho II: All American Girl, English,American Psycho II: All American Girl,-2484782.5999999996,7515217.4,46, Released
10000000,US,04-01-2023,"Action, Family",WWE WrestleMania 39 Saturday, English,WWE WrestleMania 39 Saturday,59708877,69708877,85, Released
10000000,US,04-04-2014,"Action, Crime, Thriller",In the Blood, English,In the Blood,58082313.2,68082313.2,59, Released
10000000,US,04-05-2019,"Drama, History",The Best of Enemies, English,The Best of Enemies,268749,10268749,74, Released
10000000,US,05/28/2015,"Horror, Thriller, Mystery",Insidious: Chapter 3, English,Insidious: Chapter 3,102983889,112983889,63, Released
10000000,US,05/29/1970,"Action, Drama, Thriller",Airport, English,Airport,90489151,100489151,64, Released
10000000,US,06/15/2018,"Crime, Drama, History, Thriller",Gotti, English,Gotti,-3398008,6601992,53, Released
10000000,US,06/24/1983,"Horror, Science Fiction",Twilight Zone: The Movie, English,Twilight Zone: The Movie,19500000,29500000,65, Released
10000000,US,06/28/2002,"Animation, Comedy, Family",Hey Arnold! The Movie, English,Hey Arnold! The Movie,3684949,13684949,65, Released
10000000,US,07/14/2015,Action,American Heist, English,American Heist,-7658782,2341218,48, Released
10000000,US,07/17/2001,"Horror, Science Fiction, Thriller",Mimic 2, English,Mimic 2,8052360.3999999985,18052360.4,53, Released
10000000,US,07/21/2017,"Action, Thriller, Crime",First Kill, English,First Kill,-5393664.4,4606335.6,57, Released
10000000,US,07/25/1986,"Horror, Action, Science Fiction",Maximum Overdrive, English,Maximum Overdrive,-2566337,7433663,58, Released
10000000,US,07/27/1990,Comedy,Problem Child, English,Problem Child,62000000,72000000,60, Released
10000000,US,07/27/2018,"Animation, Action, Comedy, Science Fiction",Teen Titans Go! To the Movies, English,Teen Titans Go! To the Movies,18646544,28646544,74, Released
10000000,US,07/30/1981,"Drama, War",Escape to Victory, English,Escape to Victory,17453418,27453418,69, Released
10000000,US,07-04-2007,"Adventure, Drama, War",Rescue Dawn, English,Rescue Dawn,-2962114,7037886,69, Released
10000000,US,08/19/1988,"Comedy, Crime, Romance",Married to the Mob, English,Married to the Mob,11486757,21486757,59, Released
10000000,US,08/20/2009,"Comedy, Romance, Drama",World's Greatest Dad, English,World's Greatest Dad,-9704250,295750,66, Released
